Date,SO #,Production Supervisor,SO P/N,Scrap P/N,Code ID,Code Description,ItemUM,Scrap Qty,Scrap Rate,Scrap Cost
1/2/2024,1507458,DM1,101474615,101035701,550,Fixed Quantity,EA,10,1.72%,$5 
1/2/2024,1507458,DM1,101474615,101037201,222,Material Underissue,EA,6,0.51%,$13 
1/2/2024,1507458,DM1,101474615,101037201,550,Fixed Quantity,EA,20,1.71%,$42 
1/2/2024,1507458,DM1,101474615,101037701,550,Fixed Quantity,EA,50,7.99%,$38 
1/2/2024,1507458,DM1,101474615,101039201,550,Fixed Quantity,EA,10,1.72%,$2 
1/2/2024,1507458,DM1,101474615,101226201,44,Continuity Fail,EA,22,1.70%,$11 
1/2/2024,1507458,DM1,101474615,101226201,108,Failure to Unlock Trigger,EA,6,0.46%,$3 
1/2/2024,1507458,DM1,101474615,101226201,117,Front Stops Not Touching,EA,6,0.46%,$3 
1/2/2024,1507458,DM1,101474615,101226201,140,High Jaw Force,EA,10,0.77%,$5 
1/2/2024,1507458,DM1,101474615,101226201,141,High Jaw Gap,EA,22,1.70%,$11 
1/2/2024,1507458,DM1,101474615,101226201,159,Incorrect Configuration,EA,44,3.41%,$22 
1/2/2024,1507458,DM1,101474615,101226201,220,Material Overissue,EA,363,28.10%,$185 
1/2/2024,1507458,DM1,101474615,101226201,322,Rough Jaw Actuation,EA,28,2.17%,$14 
1/2/2024,1507458,DM1,101474615,101226201,326,Rough Rotation Shaft Rotation,EA,24,1.86%,$12 
1/2/2024,1507458,DM1,101474615,101226201,355,Stuck Blade,EA,38,2.94%,$19 
1/2/2024,1507458,DM1,101474615,101226401,550,Fixed Quantity,EA,5,0.86%,$2 
1/2/2024,1507458,DM1,101474615,101226601,44,Continuity Fail,EA,4,0.64%,$2 
1/2/2024,1507458,DM1,101474615,101226601,65,Defective Components,EA,10,1.61%,$6 
1/2/2024,1507458,DM1,101474615,101226601,117,Front Stops Not Touching,EA,1,0.16%,$1 
1/2/2024,1507458,DM1,101474615,101226601,140,High Jaw Force,EA,1,0.16%,$1 
1/2/2024,1507458,DM1,101474615,101226601,141,High Jaw Gap,EA,4,0.64%,$2 
1/2/2024,1507458,DM1,101474615,101226601,159,Incorrect Configuration,EA,2,0.32%,$1 
1/2/2024,1507458,DM1,101474615,101226601,220,Material Overissue,EA,2,0.32%,$1 
1/2/2024,1507458,DM1,101474615,101226601,322,Rough Jaw Actuation,EA,14,2.25%,$8 
1/2/2024,1507458,DM1,101474615,101226601,355,Stuck Blade,EA,19,3.06%,$11 
1/2/2024,1507458,DM1,101474615,101226601,388,Wire Exposure,EA,3,0.48%,$2 
1/2/2024,1507458,DM1,101474615,101226701,550,Fixed Quantity,EA,5,0.86%,$2 
1/2/2024,1507458,DM1,101474615,101229801,44,Continuity Fail,EA,22,1.57%,$1 
1/2/2024,1507458,DM1,101474615,101229801,108,Failure to Unlock Trigger,EA,6,0.43%,$0 
1/2/2024,1507458,DM1,101474615,101229801,117,Front Stops Not Touching,EA,6,0.43%,$0 
1/2/2024,1507458,DM1,101474615,101229801,140,High Jaw Force,EA,10,0.71%,$0 
1/2/2024,1507458,DM1,101474615,101229801,141,High Jaw Gap,EA,22,1.57%,$1 
1/2/2024,1507458,DM1,101474615,101229801,159,Incorrect Configuration,EA,44,3.14%,$2 
1/2/2024,1507458,DM1,101474615,101229801,322,Rough Jaw Actuation,EA,28,2.00%,$1 
1/2/2024,1507458,DM1,101474615,101229801,326,Rough Rotation Shaft Rotation,EA,24,1.71%,$1 
1/2/2024,1507458,DM1,101474615,101229801,355,Stuck Blade,EA,38,2.71%,$2 
1/2/2024,1507458,DM1,101474615,101252001,44,Continuity Fail,EA,4,0.62%,$1 
1/2/2024,1507458,DM1,101474615,101252001,65,Defective Components,EA,10,1.55%,$3 
1/2/2024,1507458,DM1,101474615,101252001,117,Front Stops Not Touching,EA,1,0.15%,$0 
1/2/2024,1507458,DM1,101474615,101252001,140,High Jaw Force,EA,1,0.15%,$0 
1/2/2024,1507458,DM1,101474615,101252001,141,High Jaw Gap,EA,4,0.62%,$1 
